PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Q6ZWY8,17.30737877,86.68002319,5.800802231,205.4718018,7.878678322,101.9869614,21.58279419,Filtered
Q6ZWZ2,11.18640232,7.505847454,12.82197666,12.23433876,6.435964108,8.612719536,2.773724318,Filtered
Q6ZWZ6,301.9347839,222.5197144,272.3867493,413.0905151,256.633728,406.3760376,259.0118103,Filtered
Q6ZWZ7;Q9CPR4,183.8675232,325.7125549,163.1821136,247.0381317,159.4539337,220.320694,176.8274231,Filtered
Q71FD7,3.873623371,12.11046696,3.706626415,13.62657738,2.859337807,13.6814003,2.251669884,Filtered
Q71RI9;Q71RI9-2,149.4911804,41.94566727,159.4176025,42.2686615,150.9309235,33.28159332,135.3233185,Filtered
Q76LS9;Q76LS9-2,17.67061996,12.11951637,16.24658775,8.406225204,21.32619667,13.80183983,14.0859766,Filtered
Q76MZ3,133.4725494,231.1346741,116.075882,155.8111115,123.0873337,146.1183319,103.709053,Filtered
Q78IK2,67.67660522,28.97744942,77.36105347,44.43208694,63.29275131,37.92627716,49.00493622,Filtered
Q78IK4,75.40714264,56.75110626,97.63572693,42.6170845,76.75387573,43.08133698,72.48421478,Filtered
Q78J03,27.34853554,17.00623703,35.74081802,10.12342644,22.83561897,16.00363922,23.92048073,Filtered
Q78JE5,11.97962189,14.0948801,5.578978539,5.370476723,8.04955864,6.390744686,8.145671844,Filtered
Q78JN3,168.4317627,50.03985596,202.4066162,49.6240654,210.0333557,39.31336594,147.1380768,Filtered
Q78JT3,153.3972473,73.44417572,147.6535645,21.13764763,146.4748993,50.21063614,146.2864685,142.8225403
Q78PY7,78.04026031,119.33078,71.69879913,112.6328201,73.23496246,102.9238434,74.97818756,Filtered
Q78ZM0,226.9171753,356.552948,250.5004883,213.0253448,241.162735,277.0740662,261.1548462,Filtered
