RBM8
Tmem33
Dao
10-Sep
Papola
Psmb9
Syncrip
Otud4
Agpat1
Ndufa12
Tgm1
Kctd12
Lcmt1
Dock7
Bckdk
Gatad2b
Cdipt
Tsen34
Emc10
Bub3
Spcs2
Sirt2
Pnpla6
Coq7
Dhcr7
Cox7a1
Zzef1
Pi4ka
Hebp1
Rpl36-ps3;Rpl36
Igkv12-44
Rpl23a-ps3;Rpl23a
Igkv6-32
Igkv12-46
Rpl9-ps6;Rpl9
Fabp3-ps1;Fabp3
Vdac3-ps1;Vdac3
Rnf213
Prmt1
Saa2
Taldo1
Mob2
Cdc16
Stx3
Pde2a
Prosc
Prpf40a
Casp3
Bax
Ric8a
Arfip2
Svil
Aldh16a1
Timm10b
Nup98
Gys1
Hdac6
Klkb1;Cyp4v3;Klkb1
Pls3
Cherp
Csnk2a2
Efr3a
Gramd1b
Wdfy3
Rpl18a
Cnot1
Elmo3
Polr2c
Dock9
Gphn
Cdhr5
Actn1
Cul4b
Plcg1
Gm27029;Gm27029;Aarsd1
Slc13a3
Rpl19
Arfgef2
Stau1
Snf8
H6pd
Fbxo6
P3h1
Kiaa1522
Park7
Epb41
0610037L13Rik;;
Ptprf
Srrm1
Cyp4a10
Gosr2
Nrd1;Nrd1;Nrdc
Dmd
Sec24a
Exoc7
Pcyt2
Magt1
Patj
Ddi2
Stag2
Huwe1
Eftud2
Bcl2l1
Tprn
Ndufaf6
Pax8
Sec16a
Fubp3
Map7d1
Ttc1
Fggy
Col15a1
Snta1
Lrrc57
Acnat1
Hnrnpa3
Agps
Asph
Rap1gap
Ubr4
Uck1
Ndufb6
Hmgb3
Akap2;Pakap;Akap2;Akap2;Akap2;Akap2;Akap2
Cd44
Ndufaf5
Tubb1
Skt;Skt;Etl4
Fnbp1
Slc12a1
Aqr
Ganc
Acss2
Gpd2
Ppig
Tmx4
Lrp2
Pkp4
Nckap1
Gorasp2
Myef2
Dhtkd1
Raly
Tpd52l2
Dnajc5
Epb41l1
Exosc2
Rrbp1
Ssrp1
Rabgap1
Ptprj
Sh3glb2
Ubtf
Epha7;Ephb2;Ephb2;Ephb2;Epha7;Epha7;Epha7
Dpm1
Zfp185
Pabpc4;Pabpc4;Gm10110;Pabpc4;Pabpc4
Tbc1d8b
H13;Hm13;Hm13;Hm13
Ttc38
Rabgap1l
Aldoart1
Hbbt1
Vps25
Rad50
Plekhf2
Mgl2
Chp1
Dusp3
Lgals9
8-Sep
Cisd3
Pecam1
Macf1
Jak1
Prpsap1
Grb2
Aldh3a2
Hgs
Aifm1
Mospd2
Nasp
Eif2b3
Cetn2
Hcfc1
Naa10
Uprt
Clta
Rragd;Rragd;Rragd;Rragc
Nipsnap3b
Chchd7
Rps6ka3
Usp24
Plxdc2
Chmp6
Baiap2
Thoc2
Dlgap4
Mylk
Zbtb8os
Rpe
Hnrnpk
Zbed5;Zbed5;Chchd2
Cad
Strn3
Myo18a
Gnai1
Cgnl1
Erbin
Trappc11
Ppfia1
Plxnb2
Rbm25
Deptor
Mup17
Flna
Ncoa5
Bpifa2
Abi1
Xpnpep3
Col14a1
Nap1l4
Mup14
Bnip1
Cfb;Gm20547;Cfb
Tjp1
Ptprd
Tmem229a
Mon2
Gimap4
Lsm4
Hnrnpdl
Rps15
Sec11a
Osbpl3
Nmral1
Ncln
Chpt1
Mgst1
Pbxip1
Ndufv1
Carm1
Exoc3l2
Cgn
Ncald
Slc25a16
Mov10
Bloc1s1
Sf3a2
Tm9sf1
Fntb
Map7
Gnpda2
Fuom
Hnrnph3
Tmem109
Htra2
C7
Safb
Ap1s1
Klc2
Rbm47
Drap1
Cutc
Sap18;Sap18b
Vps29
Anp32a
Gm10093;Hdac1
Abhd11
Mapre2
Atp1a2
Amy1
P2rx4
Mgll
Cdh2
Glyr1
Gar1
Hacl1
Aamdc
Spg7
Ccdc6
Tmed7
Carmil1
Acsl1
Uba6
Phldb2
Diaph1
Cops6
Ddx23
Ttc7;Ttc7a
Eif2b1
Mrps17
4833439L19Rik;P33monox
Trpv4
Tmx2
Mrps14
Tango2
S100a16
Clip1
Ncbp2
Polr1c
Fip1l1
Paip1
Smtn
Mrpl3
Eif2b2
Srsf11
Napg
Uqcc2
Fam175b
Get4
Zranb2
Plrg1
Ces1b
Prodh2
Zc3hav1
Dpf2
Armc10
Arhgap24
Pex5
Mapre3
Dctn6
N6amt1
Mpv17l
Tmem214
Eif2b4
Psmg1
Mrpl40
Gsk3a
Osbpl1a
Igf1
Bre
Gls
Gls
Slmap
Acad12
Cuta
Pdpr
Pxmp2
Sypl;Sypl1
Bud31
Ggact
Zfpl1
Mob4
Gulp1
Ubl5;Ubl5;Ubl5;Ubl5;Gm16381;Ubl5
Mff
Wdr26
Filip1l
Nudcd2
Pcmt1
Mroh1
Trmu
Kif2a
Nae1
Tpd52
Arap1
Dnm1l
Rbm26
Arhgef1
Nat8f1;Cml1
Tln2
Golga2
Trmt2a
Ankhd1
Tbrg4
Xpo7
Mrps12
Cul5
Lrrc47
Fga
Atpif1
Gcn1
Eif4g1
Itih4
Gm20498
Stard10
Myo6
Fhit
Golgb1
Gpaa1
Chtop
Nap1l1
Csnk1a1
Dpysl3
Syk
Ephx1
Col6a3
Ctbp2
Rps6ka1
Tor1aip1
Farsa
Ppp4r1
Samd9l
Col12a1
Cc2d1a
Pnpla8
Timm22
Vps53
Vav1
Pex11b
Folr1
Ugt1a10
Usp7
Clpb
Mia2;Mia2;Mia2;Mia2;Mia2;Mia2;Ctage5;Mia2
Ahnak2
Rnpep
Lmo7
Rasa1
Vcan
Acot7
Usp14
Atl3
Psap
Hspg2
Rbms1;Rbms3;Rbms3;Rbms3;Rbms3;Rbms3;Rbms3;Rbms3;Rbms1;Rbms1;Rbms1
Man2c1
Cp
Anp32e
Cox7a2l
Dsp
Cdk4
Gm4450
Gm20425
Larp4
Habp2
Sh3kbp1
Denr
Fabp7
Hsph1
Grsf1
Tgfb1i1
7-Sep
Irf2bp2
Sec23a
Apob
Abcc4
Ptk2b
Sptb
Usp50;Polr2l
Synpo
Atp11a
Nup153
Dctn1
Alcam
Slc35a3
Lrba
Hk3
Nbas
Pigk
Sptan1
Smek1;Ppp4r3a
Arpp19
Kif13b
Lipe
Chchd6
Arid1b
Wdfy1
Sf1
Diaph2
Pklr
Myo1b
Hk2
Nolc1
Igfbp7
Itgam
Hpn
Ahnak
Myo1e
C1s1;C1sa
C6
Tbc1d1
Utrn
Pfdn4
Plod2
Ube4a
Dnase1
Trabd
Klc1
Numa1
Guk1
Cdhr2
Tpm3
Atp2b4
Afdn
Scamp3
Gm4788
Cfh
Tacc2
Ctnnd1
Rap1gds1
Ablim1
Dlg1
Dnajc2
Nt5c2
Cald1
Pex3
Ccdc93
Arhgap17
Gsk3b
Chd4
Fmr1
Gm10020;Rpl15
Mars
Acyp1
Eml2
Cux1
Ifi204
Ipo9
Cog3
Lyplal1
Slc12a2
Atxn2
9030617O03Rik;
Gatad2a
Triobp
Abracl
Pdgfrb
Nop2
D2hgdh
Lrrfip2
Lamb1
Abhd14b
Sorbs1
Atl2
Itsn2
Acbd5
Dhx9
AI837181;Bles03
Pafah2
Igf1r
Syne2
Pcx
Myh11
Pds5a
Col18a1
Ndufs4
Nisch
Gm17669;Rpl29
Acin1
Lancl2
Ide
Gtpbp8
Poldip2
Bag1
Pttg1ip
Gm20671;Pisd
Dohh
Phyhipl
Slc5a10
Tmx1
Tmed2
Lztfl1
Ywhaq
Eps15
Stag1
Gm10260;Rps18
Ndufab1
Mocs2
Gbe1
Gpx4
Gm21992
Ppp5c
Mtx1
Ttc37
Rock2
Pik3c2a
Erc1
Farp1
Pxn
Srp72
Lamc1
Met
Arhgef12
Sftpb
Add1
Ahcyl2
Dmxl1
Strn
Ncf1
Slc30a9
Glg1
Pds5b
Zpr1
Ecm1
Snx7
Src
Arl1
Tpm1
Hectd1
Slc12a4
Ciapin1
Spp1
Anxa6
Hist1h2al;Hist2h2ac;Hist2h2aa1
Osbpl6
Itih1
Sympk
Tra2b
St13
Pdzk1ip1
Bdh2
Cog4
Icam2
Ppp2r1b
Ptbp3
Pkn2
Dtnb;Dtnb;Dtnb;Dtnb;Dtnb;Dtnb;Dtnb;Dtnb;Dtnb;Dtna;Dtnb;Dtna;Dtna;Dtna;Dtna;Dtna
Prps1l3;Prps1
Kank3
Gps1
Psme1
Vps52
Pabpn1
Gtf2i
Pfdn6
Gigyf2
Gm20441
Rps28
Ube2i
Txn2
Myo1f
Txnrd3
Reep5
Sra1
Ctsa
Serpina3n
2210016F16Rik
Vps16
Dnajc13
Sec23ip
Slc9a3
Supt16;Supt16h
Sec24c
Stab1
Itih2
Apon
Htt
Fam3c
Slc8a1
Arfgef1
Dap3
Fars2
Akr1c19
Idi1
Ndufa11
Atp2b1
Cyb5a
Sf3b1
Tamm41
Pak1
Slc17a3
Akr1b10
Kdelc2
Ppl
Osbpl11
Ptpn13
Vill
Efemp2
Itgb5
Myo5b
Wdr11
Scyl2
Ank3
Pnkp
Tpm1
Ppp6r3
Ubxn7
Hagh
Slc26a1
Arfip1
Dhrs3
Hnrnpl
Nptn
Cpsf6
Arhgef2
Tinagl1
Stx5a;Stx5a;Stx5a;Stx5;Stx5
Cav1
Esd
Nsun2
Ces1e
Tcof1
Igfbp4
Atpaf1
Ap3m1
Rbp4
Crat
Srsf1
Glmp
Son
Tbc1d17
Rpl10
Gprc5c
Myo15b
5730455P16Rik;
Llgl2
Sel1l
Epn2
Arrb1
Dnmt1
Gm9242;Hnrnpa3
Bsg
Pbld2;Pbld1
Gopc
Myh14
Atp6v0a1
Wdr81
Mup7
Gvin1
Mthfsl
Agrn
Capn2
Bin1
Sec22b
Dpysl2
Emd
Gtpbp1
Alyref
Stxbp1
Endog
Mttp
Metap2
Kng1
Arg2
Ngp
Prdx6
Akap1
Bak1
Casp6
Ampd3
Dld
Ube3a
Prkcsh
Serpinb9
Serpinb8
Serpinb6b
Prdx4
Trove2
Galnt1
Faah
Aip
Flot1
Slc22a1
Sdcbp
Atox1
Degs1
Napsa
Snap23
Reg3g
Guca2b
Psmb1
Map2k3
Ndufb11
Ptgds
Gsto1
Man2b1
Sod3
Rpl21
Gclm
Hgd
Amacr
Ptgis
Dscr3
Scarb2
Grcc10
Phb2
Ddt
Cpsf2
Psmd4
Dhx15
Purb
Nmi
Slc6a6
Srsf5
Kpna4
Kpna3
Kpna6
Capn1
Exoc4
Phyh
Pld3
Folh1
Dhodh
Ech1
Fkbp8
Slc27a2
Psmd14
Adam10
Npc1
Anxa3
Ap1b1
Neu1
Myadm
Nudc
Pnn
Sptlc1
Cyp4a14
Hnrnph1
Chil3
Api5
Bcat2
Timm44
Cops5
Lsm2
Fxn
Aldh1a7
Psmb10
Gamt
Mrpl23
Sdc4
Ptrf
Ddost
Cyp2j5
Ap3d1
Man2b2
Dffa
Gucy1b3
Rdh16
Smarce1
Prkag1
Banf1
Crym
Asna1
Slk
Trappc3
Pgrmc1
Entpd2
Copb2
Snca
Impact
Dsg2
Nipsnap1
Eif6
Acot1
Rpl35a
Atp2a2
Supt5h
Ilk
Chkb
Psmb5
Ncf2
Pip4k2a
Eif3d
Pgam2
Eef1b
Hmox2
Ptp4a2
Nmt1
Epb41l2
Emc8
Pdlim1
Aoc3
Fhl2
Psma3
Stx7
Slc16a7
Sfn
Ugdh
Hsd17b12
Srpk1
Pigr
Smpd2
Slc22a2
Pfdn2
Sorl1
Nid2
Naglu
Cdh16
Wdr1
Slc4a4
Vti1b
Papss2
Mtx2
Dync1i2
Plin4
Ppt1
Zfr
Ddc
Cops3
Cops4
Hnrnpa2b1
Slc6a20b
Slc6a18
Comt
Pglyrp1
Usp2
Gosr1
Lamtor3
Psmc3
Clpp
Birc6
Tom1
F11r
Rpp30
Stam2
Idh1
Arl6
Rbbp9
Slc22a8
F10
Lin7c
Gnpda1
Yme1l1
Tcn2
Stx8
Gcat
Cpd
Lgmn
Afm
Tpp1
Itm2b
Coro1a
Cope
Rbm3
Cd93
Lancl1
Adh1
Dhfr
Mtco2
Hprt1
Ca2
C3
C4b
