PG.ProteinGroups,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Q62523;Q7TQE2,34.46850967,159.3224487,21.7812233,94.80802917,36.14775848,47.29881287,191.4402924,135.6781158
Q63829,33.51462173,64.78822327,34.57157135,48.53803635,40.41452789,32.56676102,64.02210236,48.99097824
Q63844,30.6665802,78.01477051,31.57843018,94.5010376,42.45162582,46.13531113,95.27381134,67.05618286
Q63850,9.956342697,18.76561546,6.954851627,28.56222153,5.194513321,5.621268272,24.35203934,25.48233795
Q63918,41.28741837,34.5071106,24.86306953,32.58193207,39.07505798,39.57881546,30.07270813,21.01690483
Q63932;Q91YS7,100.2178574,136.5960693,93.95869446,76.3602829,118.5879593,91.98497009,78.98881531,101.6396866
Q64010,124.7976608,162.2649841,137.3295441,121.7869797,95.09381104,120.6982727,195.8661499,185.4437714
Q640N1;Q640N1-2,7.920075417,10.34535694,2.498480558,71.72888947,5.668128967,4.781527996,19.70133209,12.28895473
Q64133,45.75256348,63.81122589,46.29890442,59.71021652,50.92163849,45.977108,74.05438995,95.9437561
Q64152-2,31.41129494,39.17182159,21.19585609,87.97306061,42.57464981,28.59257698,47.1869278,46.68844604
Q64261,1.469244123,3.738879919,3.649105787,6.586352825,NaN,1.57963407,8.9214077,2.285319805
Q64310,68.68254852,104.0138245,101.3977051,140.9747925,112.5767365,64.27581024,119.4917068,79.90351105
Q64314,2.917668343,NaN,Filtered,1.748849511,Filtered,Filtered,1.711903214,0.707055688
Q64324,84.37979889,70.82770538,91.83338165,84.97588348,96.70295715,98.54922485,89.6631546,80.09381104
